row_id,annotator_a_intent,annotator_b_intent,adjudicated_intent,annotator_a_should_escalate,annotator_b_should_escalate,adjudicated_should_escalate,adjudication_note
gold_017,delivery_delay,delivery_delay,delivery_delay,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_018,refund_request,refund_request,refund_request,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_019,account_access,account_access,account_access,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_020,product_defect,product_defect,product_defect,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_021,fraud_or_safety,general_complaint,fraud_or_safety,true,false,true,A recognized the stolen-package safety risk; B treated it as a general complaint. Adjudication escalated to fraud_or_safety based on the stolen-package concern.
gold_022,general_complaint,general_complaint,general_complaint,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_023,praise_or_other,praise_or_other,praise_or_other,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_024,uncategorized,product_defect,uncategorized,false,false,false,A kept it as an ambiguous non-categorized issue; B treated the device complaint as defect-related. Adjudication retained uncategorized.
gold_025,delivery_delay,delivery_delay,delivery_delay,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_026,refund_request,refund_request,refund_request,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_027,account_access,account_access,account_access,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_028,product_defect,product_defect,product_defect,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_029,fraud_or_safety,fraud_or_safety,fraud_or_safety,true,true,true,No disagreement. Both annotators agree with the final ground truth.
gold_030,general_complaint,general_complaint,general_complaint,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_031,praise_or_other,praise_or_other,praise_or_other,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_032,uncategorized,uncategorized,uncategorized,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_033,delivery_delay,delivery_delay,delivery_delay,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_034,refund_request,refund_request,refund_request,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_035,account_access,account_access,account_access,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_036,product_defect,product_defect,product_defect,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_037,fraud_or_safety,fraud_or_safety,fraud_or_safety,true,true,true,No disagreement. Both annotators agree with the final ground truth.
gold_038,general_complaint,general_complaint,general_complaint,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_039,praise_or_other,praise_or_other,praise_or_other,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_040,uncategorized,uncategorized,uncategorized,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_041,delivery_delay,delivery_delay,delivery_delay,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_042,refund_request,refund_request,refund_request,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_043,account_access,account_access,account_access,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_044,product_defect,product_defect,product_defect,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_045,fraud_or_safety,fraud_or_safety,fraud_or_safety,true,true,true,No disagreement. Both annotators agree with the final ground truth.
gold_046,general_complaint,general_complaint,general_complaint,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_047,praise_or_other,praise_or_other,praise_or_other,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_048,uncategorized,uncategorized,uncategorized,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_049,delivery_delay,delivery_delay,delivery_delay,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_050,refund_request,refund_request,refund_request,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_051,account_access,account_access,account_access,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_052,product_defect,product_defect,product_defect,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_053,fraud_or_safety,fraud_or_safety,fraud_or_safety,true,true,true,No disagreement. Both annotators agree with the final ground truth.
gold_054,general_complaint,general_complaint,general_complaint,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_055,praise_or_other,praise_or_other,praise_or_other,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_056,uncategorized,uncategorized,uncategorized,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_057,delivery_delay,delivery_delay,delivery_delay,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_058,refund_request,refund_request,refund_request,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_059,account_access,account_access,account_access,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_060,product_defect,product_defect,product_defect,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_061,fraud_or_safety,fraud_or_safety,fraud_or_safety,true,true,true,No disagreement. Both annotators agree with the final ground truth.
gold_062,general_complaint,general_complaint,general_complaint,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_063,praise_or_other,praise_or_other,praise_or_other,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_064,uncategorized,uncategorized,uncategorized,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_065,delivery_delay,delivery_delay,delivery_delay,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_066,refund_request,refund_request,refund_request,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_067,account_access,account_access,account_access,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_068,product_defect,product_defect,product_defect,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_069,fraud_or_safety,fraud_or_safety,fraud_or_safety,true,true,true,No disagreement. Both annotators agree with the final ground truth.
gold_070,general_complaint,general_complaint,general_complaint,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_071,praise_or_other,praise_or_other,praise_or_other,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_072,uncategorized,uncategorized,uncategorized,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_073,delivery_delay,delivery_delay,delivery_delay,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_074,refund_request,refund_request,refund_request,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_075,account_access,account_access,account_access,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_076,product_defect,product_defect,product_defect,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_077,fraud_or_safety,fraud_or_safety,fraud_or_safety,true,true,true,No disagreement. Both annotators agree with the final ground truth.
gold_078,delivery_delay,account_access,general_complaint,false,false,false,A focused on the shipping delay; B emphasized login friction. Adjudication kept delivery_delay as the primary issue.
gold_079,praise_or_other,praise_or_other,praise_or_other,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_080,uncategorized,uncategorized,uncategorized,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_081,delivery_delay,delivery_delay,delivery_delay,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_082,refund_request,refund_request,refund_request,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_083,account_access,account_access,account_access,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_084,product_defect,product_defect,product_defect,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_085,fraud_or_safety,fraud_or_safety,fraud_or_safety,true,true,true,No disagreement. Both annotators agree with the final ground truth.
gold_086,general_complaint,general_complaint,general_complaint,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_087,praise_or_other,praise_or_other,praise_or_other,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_088,uncategorized,uncategorized,uncategorized,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_089,delivery_delay,delivery_delay,delivery_delay,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_090,refund_request,refund_request,refund_request,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_091,account_access,account_access,account_access,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_092,product_defect,product_defect,product_defect,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_093,fraud_or_safety,fraud_or_safety,fraud_or_safety,true,true,true,No disagreement. Both annotators agree with the final ground truth.
gold_094,general_complaint,general_complaint,general_complaint,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_095,praise_or_other,praise_or_other,praise_or_other,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_096,uncategorized,uncategorized,uncategorized,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_097,delivery_delay,delivery_delay,delivery_delay,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_098,refund_request,refund_request,refund_request,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_099,product_defect,refund_request,account_access,false,false,false,A emphasized the defect report; B focused on reimbursement. Adjudication kept refund_request because the user’s main ask is reimbursement.
gold_100,product_defect,product_defect,product_defect,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_101,fraud_or_safety,fraud_or_safety,fraud_or_safety,true,true,true,No disagreement. Both annotators agree with the final ground truth.
gold_102,general_complaint,general_complaint,general_complaint,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_103,praise_or_other,praise_or_other,praise_or_other,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_104,uncategorized,uncategorized,uncategorized,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_105,delivery_delay,delivery_delay,delivery_delay,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_106,refund_request,refund_request,refund_request,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_107,account_access,account_access,account_access,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_108,product_defect,product_defect,product_defect,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_109,fraud_or_safety,fraud_or_safety,fraud_or_safety,true,true,true,No disagreement. Both annotators agree with the final ground truth.
gold_110,general_complaint,general_complaint,general_complaint,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_111,praise_or_other,praise_or_other,praise_or_other,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_112,uncategorized,uncategorized,uncategorized,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_113,delivery_delay,delivery_delay,delivery_delay,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_114,refund_request,refund_request,refund_request,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_115,account_access,account_access,account_access,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_116,product_defect,product_defect,product_defect,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_117,fraud_or_safety,fraud_or_safety,fraud_or_safety,true,true,true,No disagreement. Both annotators agree with the final ground truth.
gold_118,general_complaint,general_complaint,general_complaint,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_119,praise_or_other,praise_or_other,praise_or_other,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_120,uncategorized,uncategorized,uncategorized,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_121,delivery_delay,delivery_delay,delivery_delay,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_122,refund_request,refund_request,refund_request,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_123,account_access,account_access,account_access,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_124,product_defect,product_defect,product_defect,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_125,fraud_or_safety,fraud_or_safety,fraud_or_safety,true,true,true,No disagreement. Both annotators agree with the final ground truth.
gold_126,general_complaint,general_complaint,general_complaint,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_127,praise_or_other,praise_or_other,praise_or_other,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_128,uncategorized,uncategorized,uncategorized,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_129,delivery_delay,delivery_delay,delivery_delay,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_130,refund_request,refund_request,refund_request,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_131,account_access,account_access,account_access,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_132,product_defect,product_defect,product_defect,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_133,fraud_or_safety,fraud_or_safety,fraud_or_safety,true,true,true,No disagreement. Both annotators agree with the final ground truth.
gold_134,general_complaint,general_complaint,general_complaint,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_135,praise_or_other,praise_or_other,praise_or_other,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_136,uncategorized,uncategorized,uncategorized,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_137,delivery_delay,delivery_delay,delivery_delay,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_138,refund_request,refund_request,refund_request,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_139,account_access,account_access,account_access,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_140,product_defect,product_defect,product_defect,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_141,fraud_or_safety,fraud_or_safety,fraud_or_safety,true,true,true,No disagreement. Both annotators agree with the final ground truth.
gold_142,general_complaint,general_complaint,general_complaint,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_143,praise_or_other,praise_or_other,praise_or_other,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_144,uncategorized,uncategorized,uncategorized,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_145,delivery_delay,delivery_delay,delivery_delay,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_146,refund_request,refund_request,refund_request,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_147,account_access,account_access,account_access,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_148,product_defect,product_defect,product_defect,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_149,fraud_or_safety,fraud_or_safety,fraud_or_safety,true,true,true,No disagreement. Both annotators agree with the final ground truth.
gold_150,general_complaint,general_complaint,general_complaint,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_151,praise_or_other,praise_or_other,praise_or_other,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_152,uncategorized,uncategorized,uncategorized,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_153,delivery_delay,delivery_delay,delivery_delay,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_154,refund_request,refund_request,refund_request,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_155,account_access,account_access,account_access,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_156,product_defect,product_defect,product_defect,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_157,fraud_or_safety,fraud_or_safety,fraud_or_safety,true,true,true,No disagreement. Both annotators agree with the final ground truth.
gold_158,general_complaint,general_complaint,general_complaint,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_159,praise_or_other,praise_or_other,praise_or_other,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_160,uncategorized,uncategorized,uncategorized,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_161,delivery_delay,delivery_delay,delivery_delay,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_162,refund_request,refund_request,refund_request,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_163,account_access,account_access,account_access,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_164,product_defect,product_defect,product_defect,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_165,fraud_or_safety,fraud_or_safety,fraud_or_safety,true,true,true,No disagreement. Both annotators agree with the final ground truth.
gold_166,general_complaint,general_complaint,general_complaint,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_167,praise_or_other,praise_or_other,praise_or_other,true,true,true,No disagreement. Both annotators agree with the final ground truth.
gold_168,uncategorized,uncategorized,uncategorized,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_169,delivery_delay,delivery_delay,delivery_delay,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_170,refund_request,refund_request,refund_request,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_171,account_access,account_access,account_access,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_172,product_defect,product_defect,product_defect,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_173,fraud_or_safety,fraud_or_safety,fraud_or_safety,true,true,true,No disagreement. Both annotators agree with the final ground truth.
gold_174,general_complaint,general_complaint,general_complaint,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_175,praise_or_other,praise_or_other,praise_or_other,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_176,uncategorized,uncategorized,uncategorized,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_177,delivery_delay,delivery_delay,delivery_delay,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_178,refund_request,refund_request,refund_request,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_179,account_access,account_access,account_access,true,true,true,No disagreement. Both annotators agree with the final ground truth.
gold_180,product_defect,product_defect,product_defect,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_181,fraud_or_safety,fraud_or_safety,fraud_or_safety,true,true,true,No disagreement. Both annotators agree with the final ground truth.
gold_182,general_complaint,general_complaint,general_complaint,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_183,praise_or_other,praise_or_other,praise_or_other,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_184,uncategorized,uncategorized,uncategorized,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_185,delivery_delay,delivery_delay,delivery_delay,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_186,refund_request,refund_request,refund_request,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_187,account_access,account_access,account_access,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_188,product_defect,product_defect,product_defect,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_189,fraud_or_safety,fraud_or_safety,fraud_or_safety,true,true,true,No disagreement. Both annotators agree with the final ground truth.
gold_190,general_complaint,general_complaint,general_complaint,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_191,praise_or_other,praise_or_other,praise_or_other,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_192,uncategorized,uncategorized,uncategorized,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_193,delivery_delay,delivery_delay,delivery_delay,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_194,refund_request,refund_request,refund_request,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_195,account_access,account_access,account_access,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_196,product_defect,product_defect,product_defect,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_197,fraud_or_safety,fraud_or_safety,fraud_or_safety,true,true,true,No disagreement. Both annotators agree with the final ground truth.
gold_198,general_complaint,general_complaint,general_complaint,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_199,praise_or_other,praise_or_other,praise_or_other,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_200,uncategorized,uncategorized,uncategorized,false,false,false,No disagreement. Both annotators agree with the final ground truth.
